throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
26.490100,3.000000,-82.000000,-7.000000,33.000000,12.000000,4.000000,11.760000,29391104.000000,1815.000000
18.691600,5.000000,-83.000000,-9.000000,16.000000,15.000000,4.000000,12.730000,29391104.000000,1815.000000
24.031200,10.000000,-82.000000,-6.000000,14.000000,10.000000,3.000000,13.310000,29391106.000000,1815.000000
22.883300,10.000000,-90.000000,-7.000000,9.000000,12.000000,3.000000,13.310000,29391106.000000,1815.000000
14.552100,4.000000,-95.000000,-9.000000,5.000000,7.000000,3.000000,8.000000,29391106.000000,1815.000000
19.728700,2.000000,-90.000000,-7.000000,26.000000,7.000000,7.000000,2.230000,26385410.000000,1815.000000
27.649800,9.000000,-89.000000,-8.000000,19.000000,10.000000,7.000000,10.720000,26385410.000000,1815.000000
29.197100,9.000000,-87.000000,-7.000000,24.000000,10.000000,7.000000,8.810000,26385410.000000,1815.000000
3.319510,0.100000,-83.000000,-7.000000,30.000000,11.000000,7.000000,8.270000,26385410.000000,1815.000000
24.132700,6.000000,-82.000000,-6.000000,36.000000,15.000000,7.000000,11.270000,26385410.000000,1815.000000
28.742500,9.000000,-68.000000,-6.000000,38.000000,15.000000,7.000000,0.000000,26385410.000000,1815.000000
26.475500,6.000000,-68.000000,-6.000000,40.000000,15.000000,7.000000,0.000000,26385410.000000,1815.000000
10.178100,0.500000,-70.000000,-6.000000,36.000000,12.000000,7.000000,13.240000,26385410.000000,1815.000000
32.339600,8.000000,-80.000000,-9.000000,21.000000,11.000000,7.000000,14.300000,26385410.000000,1815.000000
8.565310,0.500000,-75.000000,-6.000000,14.000000,10.000000,1.000000,11.710000,26385408.000000,1815.000000
32.287000,9.000000,-80.000000,-6.000000,24.000000,12.000000,1.000000,12.770000,26385408.000000,1815.000000
4.166680,0.100000,-81.000000,-5.000000,11.000000,15.000000,1.000000,12.000000,26385408.000000,1815.000000
12.725300,3.000000,-89.000000,-6.000000,13.000000,9.000000,1.000000,13.590000,26385408.000000,1815.000000
22.624400,5.000000,-84.000000,-6.000000,12.000000,15.000000,9.000000,12.280000,26385408.000000,1815.000000
20.304600,2.000000,-86.000000,-7.000000,20.000000,12.000000,4.000000,0.000000,29391105.000000,1815.000000
3.463220,0.100000,-83.000000,-8.000000,30.000000,15.000000,4.000000,0.000000,29391105.000000,1815.000000
21.447700,2.000000,-78.000000,-9.000000,37.000000,15.000000,4.000000,6.060000,29391105.000000,1815.000000
16.363600,9.000000,-92.000000,-8.000000,26.000000,12.000000,4.000000,9.950000,29391105.000000,1815.000000
20.790000,10.000000,-85.000000,-6.000000,21.000000,12.000000,4.000000,9.040000,29391105.000000,1815.000000
11.315400,1.000000,-97.000000,-7.000000,21.000000,15.000000,4.000000,12.070000,29391105.000000,1815.000000
16.227200,1.000000,-94.000000,-8.000000,29.000000,15.000000,4.000000,10.860000,29391105.000000,1815.000000
18.093700,7.000000,-93.000000,-9.000000,18.000000,11.000000,4.000000,0.000000,29391105.000000,1815.000000
4.040420,0.100000,-93.000000,-10.000000,25.000000,9.000000,4.000000,0.000000,29391105.000000,1815.000000
18.527100,10.000000,-93.000000,-11.000000,13.000000,9.000000,4.000000,0.000000,29391105.000000,1815.000000
19.485000,7.000000,-94.000000,-11.000000,13.000000,9.000000,4.000000,3.870000,29391105.000000,1815.000000
30.695400,8.000000,-95.000000,-11.000000,10.000000,8.000000,4.000000,13.500000,29391105.000000,1815.000000
29.344300,8.000000,-84.000000,-6.000000,29.000000,6.000000,2.000000,14.600000,29391104.000000,1815.000000
33.273900,7.000000,-81.000000,-7.000000,27.000000,8.000000,2.000000,14.670000,29391104.000000,1815.000000
22.362000,8.000000,-83.000000,-10.000000,21.000000,9.000000,2.000000,15.200000,29391104.000000,1815.000000
26.825600,9.000000,-81.000000,-10.000000,16.000000,12.000000,3.000000,14.030000,29391106.000000,1815.000000
16.444000,4.000000,-92.000000,-7.000000,19.000000,10.000000,3.000000,14.040000,29391106.000000,1815.000000
17.636700,5.000000,-97.000000,-7.000000,2.000000,12.000000,3.000000,6.730000,29391106.000000,1815.000000
23.038200,4.000000,-93.000000,-10.000000,-1.000000,5.000000,7.000000,5.670000,26385410.000000,1815.000000
24.096400,3.000000,-85.000000,-7.000000,21.000000,11.000000,7.000000,7.620000,26385410.000000,1815.000000
2.424250,0.100000,-85.000000,-6.000000,20.000000,14.000000,7.000000,9.650000,26385410.000000,1815.000000
23.340600,4.000000,-81.000000,-6.000000,25.000000,12.000000,7.000000,10.580000,26385410.000000,1815.000000
29.015500,7.000000,-81.000000,-6.000000,21.000000,12.000000,7.000000,8.350000,26385410.000000,1815.000000
31.974400,10.000000,-70.000000,-6.000000,28.000000,12.000000,7.000000,13.700000,26385410.000000,1815.000000
22.338600,8.000000,-78.000000,-9.000000,10.000000,10.000000,7.000000,12.720000,26385410.000000,1815.000000
29.611400,6.000000,-76.000000,-7.000000,24.000000,10.000000,1.000000,12.420000,26385408.000000,1815.000000
20.725400,2.000000,-75.000000,-6.000000,14.000000,12.000000,1.000000,12.390000,26385408.000000,1815.000000
19.777500,2.000000,-77.000000,-5.000000,22.000000,12.000000,1.000000,13.240000,26385408.000000,1815.000000
10.416700,0.500000,-90.000000,-6.000000,13.000000,10.000000,1.000000,14.710000,26385408.000000,1815.000000
24.951300,8.000000,-84.000000,-5.000000,19.000000,12.000000,1.000000,13.260000,26385408.000000,1815.000000
23.205200,4.000000,-81.000000,-6.000000,25.000000,12.000000,4.000000,7.480000,29391105.000000,1815.000000
