throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
4.650080,10.000000,-100.000000,-16.000000,-6.000000,5.000000,7.000000,4.480000,13828122.000000,1845.000000
5.773050,8.000000,-98.000000,-16.000000,-7.000000,4.000000,7.000000,0.890000,13828122.000000,1845.000000
3.938950,2.000000,-93.000000,-8.000000,5.000000,6.000000,7.000000,0.000000,13416987.000000,1845.000000
6.596000,7.000000,-92.000000,-11.000000,7.000000,9.000000,7.000000,4.100000,13416987.000000,1845.000000
1.108570,2.000000,-111.000000,-17.000000,-7.000000,4.000000,7.000000,13.980000,13416987.000000,1845.000000
1.543040,9.000000,-101.000000,-17.000000,-4.000000,5.000000,7.000000,14.000000,13416987.000000,1845.000000
0.157823,0.100000,-96.000000,-13.000000,1.000000,5.000000,9.000000,13.820000,13542402.000000,850.000000
1.747050,7.000000,-97.000000,-13.000000,0.000000,5.000000,12.000000,13.700000,13542402.000000,850.000000
1.249150,8.000000,-107.000000,-12.000000,-1.000000,5.000000,7.000000,13.700000,13416987.000000,1845.000000
1.206860,4.000000,-101.000000,-17.000000,-3.000000,4.000000,15.000000,13.920000,13880067.000000,850.000000
2.729960,9.000000,-99.000000,-15.000000,-3.000000,5.000000,9.000000,0.000000,13542402.000000,850.000000
0.451416,0.500000,-91.000000,-13.000000,1.000000,5.000000,10.000000,0.000000,13542403.000000,850.000000
3.905300,10.000000,-104.000000,-18.000000,-8.000000,1.000000,9.000000,0.000000,13542402.000000,850.000000
3.651300,6.000000,-93.000000,-12.000000,7.000000,8.000000,10.000000,0.000000,13542403.000000,850.000000
0.286021,2.000000,-94.000000,-13.000000,3.000000,4.000000,9.000000,0.000000,13542402.000000,850.000000
0.718778,3.000000,-102.000000,-15.000000,-3.000000,4.000000,9.000000,0.000000,13542402.000000,850.000000
4.441360,8.000000,-93.000000,-12.000000,6.000000,8.000000,10.000000,13.200000,13542403.000000,850.000000
0.094040,0.500000,-107.000000,-16.000000,-5.000000,5.000000,24.000000,10.210000,13880067.000000,850.000000
0.718399,8.000000,-91.000000,-12.000000,6.000000,8.000000,10.000000,12.790000,13542403.000000,850.000000
0.617538,6.000000,-99.000000,-13.000000,0.000000,6.000000,10.000000,12.920000,13542403.000000,850.000000
0.937305,9.000000,-107.000000,-17.000000,-5.000000,4.000000,10.000000,12.890000,13542403.000000,850.000000
5.836220,4.000000,-101.000000,-17.000000,-10.000000,3.000000,9.000000,6.830000,13828122.000000,1845.000000
